id,label
20168,Ressarcimento do dano
20168,Ressarcimento de dano
20168,Reparação do dano
20178,Restituição do indébito
20178,Repetição de indébito
19991,Regime facultativo complementar de previdência social
19991,Rfcps
19923,Rede ferroviária federal s.a.
19923,Rede ferroviária federal sociedade anônima (rffsa)
19923,Rede ferroviária federal
19923,Rffsa
19923,Rede ferroviária federal s/a
19923,Rede ferroviária federal (rffsa)
19923,Rede ferroviária federal sociedade anônima
19923,Rede ferroviária federal sa
19923,Rede ferroviária federal sa (rffsa)
19923,Rede ferroviária federal s/a (rffsa)
19993,Regime geral de previdência social
19993,Rgps
20463,Pena administrativa
20463,Penalidade administrativa
20481,Srf
20481,Secretaria da receita federal
20481,Secretaria da receita federal do brasil
20481,Secretaria da receita federal do brasil (srf)
20543,Companhia de seguro
20543,Instituição seguradora
20543,Empresa seguradora
20543,Empresa de seguro
20551,Seguro agrícola
20551,Seguro rural
20552,Seguro do trabalho
20552,Sat
20552,Seguro de acidente de trabalho
20552,Seguro de acidente do trabalho (sat)
20552,Seguro contra acidentes do trabalho
20552,Seguro contra acidentes do trabalho (sat)
17857,Movimento dos trabalhadores rurais sem terra
17857,Sem-terra
17857,Movimento dos sem terra
20683,Serviço nacional de aprendizagem do comércio
20683,Senac
20683,Serviço nacional de aprendizagem comercial
20685,Serviço nacional de aprendizagem industrial
20685,Senai
20686,Serviço nacional de aprendizagem rural
20686,Senar
12718,Centralização de serviços de bancos s/a
12718,Centralização dos serviços dos bancos s/a
12718,Serasa
12718,Centralizadora de serviços dos bancos s/a
20676,Serviço federal de processamento de dados
20676,Serpro
20672,Spu
20672,Serviço de patrimônio da união
20700,Serviço social do comércio
20700,Sesc
20773,Sistema financeiro habitacional
20773,Sistema financeiro da habitação
20773,Sistema financeiro habitacional (sfh)
20773,Sfh
20778,Sistema integrado de pagamento de impostos e contribuições das microempresas e empresas de pequeno porte
20778,Simples (direito tributário)
20778,Simples
20778,Simples federal
20778,Simples nacional
20764,Entidade sindical
20764,Associação sindical
20765,Sindicato da indústria e da construção civil
20765,Sinduscon
20786,Sistema nacional de previdência e assistência social
20786,Sinpas
20789,Sistema nacional do meio ambiente
20789,Sisnama
20770,Sistema de protocolo judiciário descentralizado
20770,Protocolo integrado
20784,Sisni
20784,Sistema nacional de informações
20494,Secretaria nacional de direito econômico
20494,Snde
20662,Serviço de proteção ao crédito
20662,Spc
20663,Serviço de proteção ao patrimônio histórico e artístico nacional
20663,Sphan
21018,Supremo tribunal federal
21018,Stf
21005,Superior tribunal de justiça
21005,Stj
21006,Superior tribunal militar
21006,Stm
20997,Superintendência do desenvolvimento do nordeste
20997,Sudene
20994,Superintendência da zona franca de manaus
20994,Suframa
21000,Superintendência nacional do abastecimento
21000,Sunab
20793,Sistema único de saúde
20793,Sus
20995,Superintendência de seguros privados
20995,Susep
21468,Tribunal de contas do distrito federal
21468,Tcdf
21469,Tribunal de contas do estado
21469,Tce
21470,Tribunal de contas do município
21470,Tcm
21467,Tribunal de contas da união
21467,Tcu
21185,Crime tentado
21185,Conatus
21135,Taxa de fiscalização de funcionamento
21135,Tff
21133,Taxa de fiscalização de instalação
21133,Tfi
21478,Tribunal federal de recursos
21478,Tfr
21091,Tabela de incidência do ipi
21091,Tipi
21091,Tabela de incidência do imposto sobre produtos industrializados
21596,Tda
21596,Título da dívida agrária
21596,Títulos da dívida agrária
21569,Tdp
21569,Título da dívida pública
21474,Tribunal de justiça militar
21474,Tjm
21146,Taxa de organização e regulamentação do mercado de borracha
21146,Tormb
21158,Taxa referencial
21158,Tr
21516,Tráfico de entorpecente
21516,Tráfico de drogas
21402,Transferência compulsória
21402,Transferência ex officio
21159,Taxa referencial diária
21159,Trd
21484,Tribunal regional eleitoral
21484,Tre
21529,Triênio
21529,03 anos
21483,Tribunal regional do trabalho
21483,Trt
21489,Tribunal superior eleitoral
21489,Tse
21488,Tribunal superior do trabalho
21488,Tst
21561,Técnico do tesouro nacional
21561,Ttn
21543,Antecipação da tutela
21543,Antecipação de tutela
21620,Unidade fiscal de referência
21620,Ufir
21643,União nacional de estudantes
21643,Une
21614,Reunião de processos
21614,União de processos
21625,Unidade padrão de capital
21625,Upc
21616,Unidade de referência de preços
21616,Urp
21626,Unidade real de valor
21626,Urv
21717,Quantia
21717,Quantum
21718,Vaf
21718,Valor adicionado fiscal
21741,Valor ínfimo
21741,Valor insignificante
21773,Vantagem de caráter individual
21773,Vantagem de caráter pessoal
21785,Juízo das execuções criminais
21785,Vara das execuções criminais
21854,Automóvel
21854,Veículo
21858,Automóvel usado
21858,Carro usado
11219,Anuência
11219,Aquiescência
11219,Assentimento
11219,Concordância
11285,Procrastinação
11285,Protelamento
11285,Retardamento
11484,Arguição
11484,Argüição
11524,Modificação
11524,Mudança
11694,Exame
11694,Análise
17447,Local
17447,Localidade
18118,Finalidade
18118,Escopo
18118,Propósito
18578,Percentagem
18578,Porcentagem
15955,Escola nacional de administração pública
15955,Enap
